排名,学校名称,省市,新生高考成绩得分,综合排名
168,山西大学,山西,53.0,145
168,长春理工大学,吉林,53.0,199
171,河北师范大学,河北,52.8,173
171,青岛大学,山东,52.8,137
171,山西财经大学,山西,52.8,241
171,西安外国语大学,陕西,52.8,
175,北京建筑大学,北京,52.7,183
176,西安建筑科技大学,陕西,52.6,220
176,西北政法大学,陕西,52.6,
178,武汉工程大学,湖北,52.5,161
179,南昌大学,江西,52.4,135
180,天津师范大学,天津,52.3,157
181,河北经贸大学,河北,52.2,302
181,上海师范大学,上海,52.2,134
183,广州医科大学,广东,52.1,150
184,南京中医药大学,江苏,52.0,169
184,山东师范大学,山东,52.0,176
186,温州医科大学,浙江,51.9,132
186,中国刑事警察学院,辽宁,51.9,
188,河北科技大学,河北,51.7,188
188,延边大学,吉林,51.7,228
190,吉林财经大学,吉林,51.6,273
190,上海立信会计金融学院,上海,51.6,228
192,东北电力大学,吉林,51.5,270
193,安徽医科大学,安徽,51.4,146
194,内蒙古大学,内蒙古,50.9,204
194,上海海事大学,上海,50.9,153
196,广州中医药大学,广东,50.8,182
197,广西师范大学,广西,50.7,157
197,四川农业大学,四川,50.7,176
199,安徽财经大学,安徽,50.5,184
199,湖北经济学院,湖北,50.5,235
199,重庆邮电大学,重庆,50.5,195
202,华南农业大学,广东,50.4,143
203,江苏科技大学,江苏,50.3,187
204,北方工业大学,北京,50.2,195
204,中南民族大学,湖北,50.2,167
206,北京师范大学-香港浸会大学联合国际学院,广东,50.1,
206,河南大学,河南,50.1,173
208,广东工业大学,广东,50.0,144
208,新乡医学院,河南,50.0,217
210,北京信息科技大学,北京,49.9,235
210,海南大学,海南,49.9,215
212,中北大学,山西,49.6,258
213,黑龙江大学,黑龙江,49.5,152
213,昆明医科大学,云南,49.5,195
215,南京工程学院,江苏,49.4,235
215,上海政法学院,上海,49.4,
217,河北农业大学,河北,49.3,235
218,广州大学,广东,49.1,176
218,山西医科大学,山西,49.1,287
220,湖南中医药大学,湖南,49.0,228
221,辽宁师范大学,辽宁,48.9,225
222,山东财经大学,山东,48.6,211
222,西南医科大学,四川,48.6,265
224,华北理工大学,河北,48.5,191
225,东北石油大学,黑龙江,48.2,289
225,天津工业大学,天津,48.2,165
227,成都理工大学,四川,48.1,247
227,西安邮电大学,陕西,48.1,279
229,常州大学,江苏,48.0,179
229,沈阳建筑大学,辽宁,48.0,296
231,苏州科技大学,江苏,47.8,207
232,南通大学,江苏,47.6,179
232,山西师范大学,山西,47.6,247
234,河南财经政法大学,河南,47.5,279
234,四川外国语大学,重庆,47.5,
234,武汉纺织大学,湖北,47.5,184
237,贵州大学,贵州,47.4,225
238,湖南科技大学,湖南,47.2,254
238,宁夏医科大学,宁夏,47.2,199
240,大连交通大学,辽宁,47.1,301
240,广西财经学院,广西,47.1,
240,重庆交通大学,重庆,47.1,247
243,中南林业科技大学,湖南,47.0,270
244,陕西科技大学,陕西,46.9,268
245,广西中医药大学,广西,46.8,258
245,南华大学,湖南,46.8,250
245,沈阳航空航天大学,辽宁,46.8,204
245,长江大学,湖北,46.8,220
249,集美大学,福建,46.7,233
249,中国计量大学,浙江,46.7,199
251,郑州大学,河南,46.6,147
252,吉林师范大学,吉林,46.5,258
253,大连外国语大学,辽宁,46.4,
254,哈尔滨师范大学,黑龙江,46.3,273
254,四川师范大学,四川,46.3,243
256,河北金融学院,河北,46.1,
257,哈尔滨理工大学,黑龙江,46.0,279
258,湖北中医药大学,湖北,45.9,204
258,沈阳农业大学,辽宁,45.9,352
260,桂林医学院,广西,45.7,243
260,天津中医药大学,天津,45.7,184
262,福建师范大学,福建,45.6,199
262,河南中医药大学,河南,45.6,398
262,江汉大学,湖北,45.6,243
262,江苏师范大学,江苏,45.6,154
266,山东科技大学,山东,44.9,223
266,天津科技大学,天津,44.9,228
266,西南民族大学,四川,44.9,235
269,河南理工大学,河南,44.6,254
269,河南师范大学,河南,44.6,207
269,天津理工大学,天津,44.6,207
269,温州大学,浙江,44.6,188
273,承德医学院,河北,44.5,340
273,青岛科技大学,山东,44.5,191
273,武汉轻工大学,湖北,44.5,228
273,长春中医药大学,吉林,44.5,265
277,哈尔滨商业大学,黑龙江,44.4,352
277,南京晓庄学院,江苏,44.4,348
277,重庆工商大学,重庆,44.4,188
280,新疆医科大学,新疆,44.3,258
281,新疆大学,新疆,44.2,308
282,浙江传媒学院,浙江,44.1,265
283,云南师范大学,云南,44.0,195
284,湖南农业大学,湖南,43.8,217
284,金陵科技学院,江苏,43.8,346
286,桂林电子科技大学,广西,43.7,256
286,兰州交通大学,甘肃,43.7,289
286,青岛理工大学,山东,43.7,285
286,上海海洋大学,上海,43.7,207
290,西南石油大学,四川,43.6,250
291,广东财经大学,广东,43.5,285
292,辽宁工程技术大学,辽宁,43.4,373
293,广西民族大学,广西,43.1,243
293,河北工程大学,河北,43.1,313
295,黑龙江中医药大学,黑龙江,43.0,217
296,河南科技大学,河南,42.9,313
296,西北师范大学,甘肃,42.9,289
298,华东交通大学,江西,42.8,323
298,南京艺术学院,江苏,42.8,
298,太原师范学院,山西,42.8,358
301,福建中医药大学,福建,42.7,258
301,宁夏大学,宁夏,42.7,296
301,中国民用航空飞行学院,四川,42.7,474
304,沈阳工业大学,辽宁,42.6,333
304,西安科技大学,陕西,42.6,348
306,重庆理工大学,重庆,42.5,279
307,江苏第二师范学院,江苏,42.4,381
307,天津商业大学,天津,42.4,340
307,浙江农林大学,浙江,42.4,199
310,北京物资学院,北京,42.3,165
310,公安海警学院,浙江,42.3,
310,江苏理工学院,江苏,42.3,323
310,太原科技大学,山西,42.3,340
314,安徽师范大学,安徽,42.2,215
315,安徽工业大学,安徽,42.1,212
315,右江民族医学院,广西,42.1,289
317,华北水利水电大学,河南,42.0,454
318,河北地质大学,河北,41.7,333
318,湖南商学院,湖南,41.7,352
318,济南大学,山东,41.7,157
321,上海电力学院,上海,41.6,225
322,常州工学院,江苏,41.4,434
322,湖北医药学院,湖北,41.4,287
322,重庆师范大学,重庆,41.4,270
325,吉林警察学院,吉林,41.3,
325,江西师范大学,江西,41.3,223
325,长春工业大学,吉林,41.3,313
328,昆明理工大学,云南,41.2,258
328,长治医学院,山西,41.2,391
330,上海商学院,上海,41.1,
331,河南工业大学,河南,41.0,294
331,内蒙古医科大学,内蒙古,41.0,329
331,西安财经学院,陕西,41.0,408
331,长春大学,吉林,41.0,346
331,长春师范大学,吉林,41.0,401
336,成都信息工程大学,四川,40.9,463
337,常熟理工学院,江苏,40.8,279
337,辽宁中医药大学,辽宁,40.8,273
337,浙江中医药大学,浙江,40.8,250
340,北京印刷学院,北京,40.7,329
340,福建农林大学,福建,40.7,220
340,广西师范学院,广西,40.7,302
343,南京林业大学,江苏,40.6,273
343,石河子大学,新疆,40.6,386
345,湖北师范大学,湖北,40.5,258
345,西南科技大学,四川,40.5,420
347,西安石油大学,陕西,40.4,385
348,沈阳理工大学,辽宁,40.3,420
348,西安工业大学,陕西,40.3,323
350,郑州航空工业管理学院,河南,40.2,460
351,上海工程技术大学,上海,40.1,308
351,沈阳医学院,辽宁,40.1,212
353,大连大学,辽宁,40.0,323
353,河北建筑工程学院,河北,40.0,
355,山西中医学院,山西,39.9,
355,浙江外国语学院,浙江,39.9,391
357,山西大同大学,山西,39.8,352
358,北华航天工业学院,河北,39.7,511
358,西安工程大学,陕西,39.7,397
360,大连民族大学,辽宁,39.6,313
360,湖北第二师范学院,湖北,39.6,212
360,内蒙古财经大学,内蒙古,39.6,
363,北华大学,吉林,39.5,391
363,桂林理工大学,广西,39.5,308
363,西华大学,四川,39.5,377
366,成都中医药大学,四川,39.4,302
366,广州美术学院,广东,39.4,
368,广东金融学院,广东,39.3,364
368,湖南第一师范学院,湖南,39.3,377
368,锦州医科大学,辽宁,39.3,250
368,西安医学院,陕西,39.3,364
372,兰州财经大学,甘肃,39.1,
372,山西农业大学,山西,39.1,373
374,河南农业大学,河南,39.0,302
374,淮阴师范学院,江苏,39.0,329
376,安徽建筑大学,安徽,38.9,364
376,河北中医学院,河北,38.9,
376,浙江海洋大学,浙江,38.9,302
379,河北科技师范学院,河北,38.8,386
380,吉林医药学院,吉林,38.7,403
380,唐山学院,河北,38.7,438
382,川北医学院,四川,38.5,364
382,大连工业大学,辽宁,38.5,333
382,哈尔滨金融学院,黑龙江,38.5,
382,河南警察学院,河南,38.5,
382,云南财经大学,云南,38.5,278
382,云南中医学院,云南,38.5,337
388,贵州医科大学,贵州,38.4,337
388,湖南工业大学,湖南,38.4,235
390,广西科技大学,广西,38.3,510
390,兰州理工大学,甘肃,38.3,313
390,太原工业学院,山西,38.3,474
393,闽南师范大学,福建,38.2,233
393,武汉商学院,湖北,38.2,
393,浙江科技学院,浙江,38.2,296
396,甘肃中医药大学,甘肃,38.0,
396,盐城工学院,江苏,38.0,320
398,湖南财政经济学院,湖南,37.9,463
398,首都体育学院,北京,37.9,
400,石家庄学院,河北,37.8,434
400,延安大学,陕西,37.8,420
400,盐城师范学院,江苏,37.8,340
400,中国劳动关系学院,北京,37.8,
404,徐州工程学院,江苏,37.7,340
405,中华女子学院,北京,37.6,
406,潍坊医学院,山东,37.4,358
407,安徽农业大学,安徽,37.3,302
407,通化师范学院,吉林,37.3,443
409,山东理工大学,山东,37.2,443
410,广东医科大学,广东,37.1,279
